nom,image,ville,date,nature d'annonce,prix
 mitigeur -2020 ,https://www.avito.ma/thumbs/36/3618677764.jpg,El Jadida,15 Mar,Annonce de professionnel,1
 rabat -2020 ,https://www.avito.ma/thumbs/32/3207474713.jpg,Rabat,11 Mar,Annonce de professionnel,1
 moto beidjou visebino -2001 ,https://www.avito.ma/thumbs/08/0807853645.jpg,Salé,16 Fév,Annonce de professionnel,1
 motor r50 tzx -2020 ,https://www.avito.ma/thumbs/85/8568685625.jpg,Agadir,24 Jan,Annonce de professionnel,1
 Quinny Zapp Xtra ,https://www.avito.ma/thumbs/54/5458957745.jpg,Casablanca,24 Déc,Annonce de professionnel,1
 كروسري 10 -2013 ,https://www.avito.ma/thumbs/83/8381301576.jpg,Jorf El Melha,22 Jan,Annonce de professionnel,1
 كروسري10 -2015 ,https://www.avito.ma/thumbs/83/8341815492.jpg,Jorf El Melha,22 Jan,Annonce de professionnel,1
 bikala ,https://www.avito.ma/thumbs/83/8325360740.jpg,Béni Mellal,22 Jan,Annonce de professionnel,1
 jaguars ghazala -2019 ,https://www.avito.ma/thumbs/82/8232460124.jpg,Salé,21 Jan,Annonce de professionnel,1
 Injecteurs C6.6 NEW NEW ,https://www.avito.ma/thumbs/82/8214321537.jpg,Casablanca,21 Jan,Annonce de professionnel,1
 mitsibishi canter 2003 12 v ,https://www.avito.ma/thumbs/62/6206335605.jpg,Casablanca,1 Jan,Annonce de professionnel,5
 Bébé Confort Éléa ,https://www.avito.ma/thumbs/54/5411127759.jpg,Casablanca,24 Déc,Annonce de professionnel,1
 Diablo 50 -2019 ,https://www.avito.ma/thumbs/68/6849987083.jpg,Casablanca,7 Jan,Annonce de professionnel,1
 308 ,https://www.avito.ma/thumbs/59/5960817566.jpg,Fès,29 Déc,Annonce de professionnel,14
 mitsibishi canter 2003(12v) ,https://www.avito.ma/thumbs/62/6294028040.jpg,Casablanca,1 Jan,Annonce de professionnel,5
 Liberty -1981 ,https://www.avito.ma/thumbs/61/6183945687.jpg,Nador,31 Déc,Annonce de professionnel,5
 gouchon ,https://www.avito.ma/thumbs/50/5041668982.jpg,Kénitra,20 Déc,Annonce de professionnel,5
 charge auto jdid ,https://www.avito.ma/thumbs/60/6044192592.jpg,Tanger,30 Déc,Annonce de professionnel,20
 byas ford focus. et ford escort ,https://www.avito.ma/thumbs/82/8215575372.jpg,Khouribga,21 Jan,Annonce de professionnel,10
 Lave Glass voiture de qualité ,https://www.avito.ma/thumbs/94/9447010529.jpg,Tanger,25 Oct,Annonce de professionnel,30
 Filtre de Carburateur ,https://www.avito.ma/thumbs/62/6261285571.jpg,Casablanca,1 Jan,Annonce de professionnel,25
 شاكمة ,https://www.avito.ma/thumbs/45/4545265195.jpg,Safi,24 Mar,Annonce de professionnel,50
 مفتاح براغي اطارات السيارة ,https://www.avito.ma/thumbs/94/9430875594.jpg,Marrakech,2 Fév,Annonce de professionnel,50
 Des pneus avec des prix à ne pas rater ,https://www.avito.ma/thumbs/13/1342677708.jpg,Casablanca,22 Mar,Annonce de professionnel,45
 Parfums de voiture ,https://www.avito.ma/thumbs/55/5503792197.jpg,Rabat,25 Déc,Annonce de professionnel,25
 حي نبعات ,https://www.avito.ma/thumbs/52/5236154438.jpg,Salé,22 Déc,Annonce de professionnel,25
 Vélo ,https://www.avito.ma/thumbs/42/4205829681.jpg,Casablanca,21 Mar,Annonce de professionnel,50
 gps dacia ,https://www.avito.ma/thumbs/40/4009293281.jpg,Casablanca,19 Mar,Annonce de professionnel,50
 antenne Gps dacia ,https://www.avito.ma/thumbs/40/4022174159.jpg,Casablanca,19 Mar,Annonce de professionnel,50
 بوانيات ,https://www.avito.ma/thumbs/90/9044452685.jpg,Agadir,30 Jan,Annonce de professionnel,50
 cache volant ,https://www.avito.ma/thumbs/89/8900296732.jpg,Fès,28 Jan,Annonce de professionnel,50
 aux bluetooth ,https://www.avito.ma/thumbs/31/3128771762.jpg,Rabat,10 Mar,Annonce de professionnel,45
 mask ala hsab lbard ,https://www.avito.ma/thumbs/27/2772144396.jpg,Oujda,6 Mar,Annonce de professionnel,45
 جهاز بلوتوث ,https://www.avito.ma/thumbs/23/2324640510.jpg,Tifelt,2 Mar,Annonce de professionnel,45
 Organiseur de siège arrièreà Mohammedia ,https://www.avito.ma/thumbs/17/1712176635.jpg,Mohammedia,25 Fév,Annonce de professionnel,45
 كسك جديد للبيع -2019 ,https://www.avito.ma/thumbs/15/1564374600.jpg,Tanger,23 Fév,Annonce de professionnel,45
 casque pour moto ,https://www.avito.ma/thumbs/15/1540563751.jpg,Tanger,23 Fév,Annonce de professionnel,45
 mp4 pour les voitures ,https://www.avito.ma/thumbs/82/8281817208.jpg,Tifelt,21 Jan,Annonce de professionnel,45
 Filtre à air Dokker ,https://www.avito.ma/thumbs/58/5870026678.jpg,Marrakech,28 Déc,Annonce de professionnel,45
 Bloc SBC w211 mercedes E220 ,https://www.avito.ma/thumbs/53/5305289565.jpg,Al Hoceima,23 Déc,Annonce de professionnel,45
 Organiseur de siège arrièreà Salé ,https://www.avito.ma/thumbs/31/3125295841.jpg,Fquih Ben Saleh,10 Mar,Annonce de professionnel,46
 بيع ياجور ,https://www.avito.ma/thumbs/73/7312116489.jpg,Sidi Bennour,12 Jan,Annonce de professionnel,46
 Aspirateur auto مكنسة لتنظيف السيارة ,https://www.avito.ma/thumbs/62/6208441165.jpg,Safi,5 Oct,Annonce de professionnel,50
 Renault kangoo ,https://www.avito.ma/thumbs/89/8943267993.jpg,Rabat,28 Jan,Annonce de professionnel,60
 Gants pour hommes ,https://www.avito.ma/thumbs/53/5356312953.jpg,Sefrou,23 Déc,Annonce de professionnel,70
 Support Portable / GPS Pour voiture ,https://www.avito.ma/thumbs/63/6368295094.jpg,Casablanca,2 Jan,Annonce de professionnel,46
 Organiseur de siège arrièreà Casablanca ,https://www.avito.ma/thumbs/47/4716481179.jpg,Casablanca,26 Mar,Annonce de professionnel,49
 Organiseur de siège arrièreà Marrakech ,https://www.avito.ma/thumbs/38/3889197657.jpg,Marrakech,17 Mar,Annonce de professionnel,49
 Organiseur de siège arrièreà Casablanca ,https://www.avito.ma/thumbs/34/3487103620.jpg,Casablanca,13 Mar,Annonce de professionnel,49
 Organiseur de siège arrière ,https://www.avito.ma/thumbs/32/3241975309.jpg,Casablanca,11 Mar,Annonce de professionnel,49
 Organiseur de siège arrièreà Rabat ,https://www.avito.ma/thumbs/31/3116330140.jpg,Rabat,10 Mar,Annonce de professionnel,49
 Organiseur de siège arrièreà Casablanca ,https://www.avito.ma/thumbs/27/2743999710.jpg,Casablanca,6 Mar,Annonce de professionnel,49
 ادا باغي دنظف السيارت ديالك ,https://www.avito.ma/thumbs/86/8652452463.jpg,Tétouan,25 Jan,Annonce de professionnel,60
 خواتم مستوردة من الخارج ,https://www.avito.ma/thumbs/84/8476443893.jpg,Casablanca,25 Jan,Annonce de professionnel,60
 Bluetooth récepteur Audio ,https://www.avito.ma/thumbs/75/7599855204.jpg,Casablanca,23 Jan,Annonce de professionnel,60
 Casque pour vélo ,https://www.avito.ma/thumbs/73/7336656346.jpg,Casablanca,14 Jan,Annonce de professionnel,60
 Pare-soleil voiture ,https://www.avito.ma/thumbs/73/7351048875.jpg,Casablanca,12 Jan,Annonce de professionnel,60
 casque ,https://www.avito.ma/thumbs/64/6403833943.jpg,Salé,12 Jan,Annonce de professionnel,60
 casque vtt ,https://www.avito.ma/thumbs/09/0916176799.jpg,Tanger,9 Nov,Annonce de professionnel,70
 Supportes manutique original ,https://www.avito.ma/thumbs/91/9134242437.jpg,Casablanca,5 Avr,Annonce de professionnel,70
